10000,0.728669seconds,2.018770seconds
20000,0.725726seconds,2.012235seconds
30000,0.698790seconds,2.063595seconds
40000,0.717842seconds,2.045545seconds
50000,0.702752seconds,2.165930seconds
60000,0.630518seconds,2.066800seconds
70000,0.649133seconds,2.010150seconds
80000,0.670583seconds,2.000335seconds
90000,0.649560seconds,1.964655seconds
100000,0.654487seconds,2.061845seconds
110000,0.655715seconds,2.047315seconds
120000,0.650556seconds,2.052700seconds
130000,0.653987seconds,2.032460seconds
140000,0.613641seconds,1.949675seconds
150000,0.649289seconds,2.034470seconds
