10000,0.606344seconds,1.989235seconds
20000,0.614903seconds,1.977715seconds
30000,0.635100seconds,1.980565seconds
40000,0.943957seconds,2.013965seconds
50000,0.655825seconds,2.067925seconds
60000,0.645571seconds,1.991005seconds
70000,0.623255seconds,1.948490seconds
80000,0.687710seconds,1.959385seconds
90000,0.651358seconds,1.980280seconds
100000,0.723002seconds,1.986280seconds
110000,0.778809seconds,2.068530seconds
120000,0.633807seconds,1.956105seconds
130000,0.632157seconds,2.031195seconds
140000,0.638018seconds,1.966540seconds
150000,0.593135seconds,2.017945seconds
