10000,0.703368seconds,1.944350seconds
20000,0.664113seconds,1.932040seconds
30000,0.657441seconds,1.914770seconds
40000,0.736265seconds,1.905715seconds
50000,0.745536seconds,1.884435seconds
60000,0.753380seconds,1.920405seconds
70000,0.730943seconds,1.920875seconds
80000,0.753081seconds,1.988680seconds
90000,0.820693seconds,1.985790seconds
100000,0.630024seconds,1.890440seconds
110000,0.805105seconds,1.950105seconds
120000,0.768683seconds,1.972075seconds
130000,0.694187seconds,1.983295seconds
140000,0.661869seconds,1.918615seconds
150000,0.624207seconds,1.908750seconds
